subject;condition;congruency;RT
13;ems;normal;0.102
13;ems;normal;0
13;ems;conflict;0.284
13;ems;normal;0.062
13;ems;normal;0.064
13;ems;normal;0.054
13;ems;normal;0.044
13;ems;normal;0.002
13;ems;conflict;0.248
13;ems;normal;0.028
13;ems;conflict;0.23
13;ems;normal;0.03
13;ems;normal;0
13;ems;normal;0
13;ems;normal;0.012
13;ems;conflict;0.172
13;ems;normal;0
13;ems;normal;0.03
13;ems;normal;1.124
13;ems;conflict;0.188
13;ems;normal;0
13;ems;normal;0.986
13;ems;conflict;0.218
13;ems;normal;0
13;ems;normal;0
13;ems;normal;0
13;ems;normal;0
13;ems;normal;0
13;ems;conflict;0.204
13;ems;normal;0.908
13;ems;conflict;0.184
13;ems;normal;0
13;ems;normal;0.042
13;ems;normal;0
13;ems;normal;0
13;ems;conflict;0.204
13;ems;normal;0
13;ems;normal;0
13;ems;normal;0
13;ems;conflict;0.144
13;ems;normal;0.034
13;ems;normal;0
13;ems;conflict;0.172
13;ems;normal;0
13;ems;normal;0.778
13;ems;normal;0
13;ems;normal;0
13;ems;normal;0.068
13;ems;conflict;0.192
13;ems;normal;0
13;ems;conflict;0.15
13;ems;normal;0.014
13;ems;normal;0
13;ems;normal;0
13;ems;normal;0.09
13;ems;conflict;0.18
13;ems;normal;0.004
13;ems;normal;0
13;ems;normal;0.766
13;ems;conflict;0.198
13;ems;normal;0
13;ems;normal;0
13;ems;conflict;0.17
13;ems;normal;0
13;ems;normal;0
13;ems;normal;0
13;ems;normal;0.008
13;ems;normal;0.012
13;ems;conflict;0.182
13;ems;normal;0
13;ems;conflict;0.218
13;ems;normal;0
13;ems;normal;0
13;ems;normal;0
13;ems;normal;0.024
13;ems;conflict;0.25
13;ems;normal;0.038
13;ems;normal;0.03
13;ems;normal;0.02
13;ems;conflict;0.244
13;ems;normal;0
13;ems;normal;0.012
13;ems;conflict;0.202
13;ems;normal;0.05
13;ems;normal;0
13;ems;normal;0
13;ems;normal;0
13;ems;normal;0
13;ems;conflict;0.226
13;ems;normal;0.038
13;ems;conflict;0.208
13;ems;normal;0.088
13;ems;normal;0.054
13;ems;normal;0
13;ems;normal;0.012
13;ems;conflict;0.238
13;ems;normal;0.038
13;ems;normal;0
13;ems;normal;0.088
13;ems;conflict;0.256
13;ems;normal;0
13;ems;normal;0
13;ems;normal;0.008
13;vibro;normal;0.056
13;vibro;normal;0.058
13;vibro;normal;0.106
13;vibro;conflict;0.42
13;vibro;normal;0.054
13;vibro;normal;0.068
13;vibro;normal;0.014
13;vibro;normal;0.138
13;vibro;conflict;0.388
13;vibro;normal;0
