subject;condition;congruency;RT
16;ems;normal;0.026
16;ems;normal;0.004
16;ems;normal;0
16;ems;conflict;0.152
16;ems;normal;0
16;ems;normal;0.03
16;ems;normal;0.044
16;ems;normal;0
16;ems;normal;0.01
16;ems;conflict;0.124
16;ems;normal;0
16;ems;normal;0.012
16;ems;conflict;0.196
16;ems;normal;0.004
16;ems;conflict;0.186
16;ems;normal;0.03
16;ems;normal;0.042
16;ems;normal;0.044
16;ems;normal;0.022
16;ems;conflict;0.112
16;ems;normal;0.046
16;ems;normal;0.014
16;ems;normal;0
16;ems;conflict;0.104
16;ems;normal;0
16;ems;normal;0.028
16;ems;normal;0
16;ems;normal;0.01
16;ems;normal;0
16;ems;conflict;0.1
16;ems;normal;0
16;ems;normal;0.024
16;ems;conflict;0.136
16;ems;normal;0.016
16;ems;conflict;0.138
16;ems;normal;0.028
16;ems;normal;0.04
16;ems;normal;0.042
16;ems;normal;0
16;ems;conflict;0.164
16;ems;normal;0.034
16;ems;normal;0.068
16;ems;normal;0.024
16;ems;conflict;0.158
16;ems;normal;0.026
16;ems;normal;0.022
16;ems;normal;0.058
16;ems;normal;0.04
16;ems;normal;0.03
16;ems;conflict;0.164
16;ems;normal;0.066
16;ems;normal;0.032
16;ems;conflict;0.146
16;ems;normal;0.058
16;ems;conflict;0.148
16;ems;normal;0.024
16;ems;normal;0
16;ems;normal;0.028
16;ems;normal;0.028
16;ems;conflict;0.14
16;ems;normal;0.03
16;ems;normal;0.032
16;ems;normal;0.044
16;ems;conflict;0.156
16;ems;normal;0.024
16;ems;normal;0.034
16;ems;normal;0.07
16;ems;normal;0.026
16;ems;normal;0.006
16;ems;conflict;0.184
16;ems;normal;0.018
16;ems;normal;0.04
16;ems;conflict;0.142
16;ems;normal;0.032
16;ems;conflict;0.134
16;ems;normal;0.034
16;ems;normal;0.046
16;ems;normal;0.014
16;ems;normal;0.038
16;ems;conflict;0.172
16;ems;normal;0
16;ems;normal;0.05
16;ems;normal;0.03
16;ems;conflict;0.176
16;ems;normal;0.032
16;ems;normal;0.014
16;ems;normal;0.022
16;ems;normal;0.012
16;ems;normal;0.014
16;ems;conflict;0.126
16;ems;normal;0.016
16;ems;normal;0
16;ems;conflict;0.084
16;ems;normal;0
16;ems;conflict;0.132
16;ems;normal;0.01
16;ems;normal;0.524
16;ems;normal;0
16;ems;normal;0
16;ems;conflict;0.04
16;ems;normal;0.028
16;ems;normal;0.032
16;ems;normal;0.04
16;ems;normal;0.04
16;ems;normal;0
16;vibro;normal;0.094
16;vibro;normal;0.052
16;vibro;normal;0.054
16;vibro;normal;0.042
16;vibro;conflict;0.21
16;vibro;normal;0.034
16;vibro;normal;0.012
16;vibro;normal;0.034
16;vibro;normal;0.014
16;vibro;normal;0.048
16;vibro;conflict;0.192
16;vibro;normal;0.05
16;vibro;normal;0.04
16;vibro;conflict;0.208
16;vibro;normal;0.064
16;vibro;normal;0.032
16;vibro;normal;0.032
16;vibro;conflict;0.224
16;vibro;normal;0.046
16;vibro;conflict;0.182
16;vibro;normal;0.114
16;vibro;normal;0.004
16;vibro;normal;0.072
16;vibro;normal;0.084
16;vibro;conflict;0.242
16;vibro;normal;0.04
16;vibro;normal;0.032
16;vibro;normal;0.022
16;vibro;normal;0.032
16;vibro;normal;0.034
16;vibro;conflict;0.202
16;vibro;normal;0
16;vibro;normal;0
16;vibro;conflict;0.172
16;vibro;normal;0.026
16;vibro;normal;0.016
16;vibro;normal;0.016
16;vibro;conflict;0.162
16;vibro;normal;0.042
16;vibro;conflict;0.188
16;vibro;normal;0.03
16;vibro;normal;0.044
16;vibro;normal;0.022
16;vibro;normal;0
16;vibro;conflict;0.158
16;vibro;normal;0.572
16;vibro;normal;0
16;vibro;normal;0
16;vibro;normal;0.004
16;vibro;normal;0.018
16;vibro;conflict;0.174
16;vibro;normal;0.018
16;vibro;normal;0.042
16;vibro;conflict;0.178
16;vibro;normal;0.022
16;vibro;normal;0.01
16;vibro;normal;0.056
16;vibro;conflict;0.214
16;vibro;normal;0.058
16;vibro;conflict;0.182
16;vibro;normal;0.004
16;vibro;normal;0.038
16;vibro;normal;0.016
16;vibro;normal;0.04
16;vibro;conflict;0.19
16;vibro;normal;0.122
16;vibro;normal;0.076
16;vibro;normal;0.044
16;vibro;normal;0.044
16;vibro;normal;0.046
16;vibro;conflict;0.236
16;vibro;normal;0.048
16;vibro;normal;0.026
16;vibro;conflict;0.184
16;vibro;normal;0.04
16;vibro;normal;0.018
16;vibro;normal;0.008
16;vibro;conflict;0.154
16;vibro;normal;0
16;vibro;conflict;0.156
16;vibro;normal;0
16;vibro;normal;0.058
16;vibro;normal;0.068
16;vibro;normal;0
16;vibro;conflict;0.226
16;vibro;normal;0.048
16;vibro;normal;0
16;vibro;normal;0.038
16;vibro;normal;0.03
16;vibro;normal;0.042
16;vibro;conflict;0.232
16;vibro;normal;0.022
16;vibro;normal;0
16;vibro;conflict;0.224
16;vibro;normal;0
16;vibro;normal;1.008
16;vibro;normal;0
16;vibro;conflict;0.184
16;vibro;normal;0
16;vibro;conflict;0.208
16;vibro;normal;0.07
16;vibro;normal;0.06
16;vibro;normal;0.062
16;vibro;normal;0.062
16;vibro;conflict;0.22
16;vibro;normal;0.042
16;vibro;normal;0.03
16;vibro;normal;0.056
16;vibro;normal;0.078
16;vibro;normal;0
16;vibro;conflict;0.192
16;vibro;normal;0.046
16;vibro;normal;0.06
16;vibro;conflict;0.216
16;vibro;normal;0.074
16;vibro;normal;0.04
16;vibro;normal;0
16;vibro;conflict;0.242
16;vibro;normal;0.064
16;vibro;conflict;0.266
16;vibro;normal;0
16;vibro;normal;0.08
16;vibro;normal;0.034
16;vibro;normal;0.058
16;vibro;conflict;0.214
16;vibro;normal;0.072
16;vibro;normal;0.062
16;vibro;normal;0.096
16;vibro;normal;0.096
16;vibro;normal;0.096
16;vibro;conflict;0.254
16;vibro;normal;0.12
16;vibro;normal;0.034
16;vibro;conflict;0.258
16;vibro;normal;0.046
16;vibro;normal;0.048
16;vibro;normal;0.048
16;vibro;conflict;0.24
16;vibro;normal;0.018
16;vibro;conflict;0.24
16;vibro;normal;0.018
16;vibro;normal;0.074
16;vibro;normal;0.066
16;vibro;normal;0.01
16;vibro;conflict;0.224
16;vibro;normal;0.09
16;vibro;normal;0.046
16;vibro;normal;0.146
16;vibro;normal;0.092
16;vibro;normal;0.048
16;vibro;conflict;0.206
16;vibro;normal;0.052
16;vibro;normal;0.052
16;vibro;conflict;0.198
16;vibro;normal;0.064
16;vibro;normal;0.098
16;vibro;normal;0.078
16;vibro;conflict;0.224
16;vibro;normal;0.034
16;vibro;conflict;0.204
16;vibro;normal;0.046
16;vibro;normal;0.026
16;vibro;normal;0.016
16;vibro;normal;0.062
16;vibro;conflict;0.174
16;vibro;normal;0.018
16;vibro;normal;0.008
16;vibro;normal;0.022
16;vibro;normal;0.01
16;vibro;normal;0.022
16;vibro;conflict;0.202
16;vibro;normal;0.09
16;vibro;normal;0.048
16;vibro;conflict;0.238
16;vibro;normal;0.026
16;vibro;normal;0.004
16;vibro;normal;0.084
16;vibro;conflict;0.206
16;vibro;normal;0.054
16;vibro;conflict;0.212
16;vibro;normal;0.032
16;vibro;normal;0.022
16;vibro;normal;0.024
16;vibro;normal;0.002
16;vibro;conflict;0.226
16;vibro;normal;0.036
16;vibro;normal;0.06
16;vibro;normal;0.038
16;vibro;normal;0.016
16;vibro;normal;0.018
16;vibro;conflict;0.188
16;vibro;normal;0.02
16;vibro;normal;0.042
16;vibro;conflict;0.21
16;vibro;normal;0
16;vibro;normal;0.044
16;vibro;normal;0.046
