subject;condition;congruency;RT
8;ems;normal;0.048
8;ems;normal;0.05
8;ems;normal;0.04
8;ems;normal;0.052
8;ems;normal;0.064
8;ems;conflict;0.322
8;ems;normal;0.02
8;ems;conflict;0.012
8;ems;normal;0.022
8;ems;normal;0.014
8;ems;conflict;0.058
8;ems;normal;0.004
8;ems;normal;0.016
8;ems;normal;0.016
8;ems;normal;0
8;ems;conflict;0.074
8;ems;normal;0.03
8;ems;normal;0
8;ems;normal;0
8;ems;conflict;0.28
8;ems;normal;0.01
8;ems;normal;0.012
8;ems;normal;0.014
8;ems;normal;0.046
8;ems;normal;0.016
8;ems;conflict;0.25
8;ems;normal;0.04
8;ems;conflict;0.052
8;ems;normal;0.042
8;ems;normal;0.792
8;ems;conflict;0.324
8;ems;normal;0.034
8;ems;normal;0.034
8;ems;normal;0.036
8;ems;normal;0.84
8;ems;conflict;0.272
8;ems;normal;0.04
8;ems;normal;0.028
8;ems;normal;0.03
8;ems;conflict;0.288
8;ems;normal;0.042
8;ems;normal;0.044
8;ems;normal;0.01
8;ems;normal;0.044
8;ems;normal;0.034
8;ems;conflict;0.092
8;ems;normal;0.036
8;ems;conflict;0.294
8;ems;normal;0.038
8;ems;normal;0.04
8;ems;conflict;0.298
8;ems;normal;0.018
8;ems;normal;0.008
8;ems;normal;0.032
8;ems;normal;0.01
8;ems;conflict;0.29
8;ems;normal;0.012
8;ems;normal;0.036
8;ems;normal;0
8;ems;conflict;0.316
8;ems;normal;0.016
8;ems;normal;0.038
8;ems;normal;0.016
8;ems;normal;0.052
8;ems;normal;0.03
8;ems;conflict;0.324
8;ems;normal;0.044
8;ems;conflict;0.29
8;ems;normal;0.058
8;ems;normal;0.058
8;ems;conflict;0.35
8;ems;normal;0.028
8;ems;normal;0.048
8;ems;normal;0.04
8;ems;normal;0.052
8;ems;conflict;0.042
8;ems;normal;0.066
8;ems;normal;0.056
8;ems;normal;0.056
8;ems;conflict;0.302
8;ems;normal;0.036
8;ems;normal;0.024
8;ems;normal;0.014
8;ems;normal;0.026
8;ems;normal;0.05
8;ems;conflict;0.274
8;ems;normal;0.05
8;ems;conflict;0.264
8;ems;normal;0.042
8;ems;normal;0.044
8;ems;conflict;0.256
8;ems;normal;0.056
8;ems;normal;0.056
8;ems;normal;0.036
8;ems;normal;0.036
8;ems;conflict;0.316
8;ems;normal;0.026
8;ems;normal;0.04
8;ems;normal;0.04
8;ems;conflict;0.264
8;ems;normal;0
8;ems;normal;0.022
8;ems;normal;0.024
8;vibro;normal;0.026
8;vibro;normal;0.074
8;vibro;normal;0.164
8;vibro;normal;0.11
8;vibro;conflict;0.234
8;vibro;normal;0.058
8;vibro;conflict;0.282
8;vibro;normal;0.138
8;vibro;normal;0.082
8;vibro;normal;0.086
8;vibro;conflict;0.266
8;vibro;normal;0.134
8;vibro;normal;0.09
8;vibro;normal;0.116
8;vibro;normal;0.106
8;vibro;normal;0.072
8;vibro;conflict;0.196
8;vibro;normal;0
8;vibro;normal;0.022
8;vibro;conflict;0.236
8;vibro;normal;0.014
8;vibro;normal;0
8;vibro;normal;0.05
8;vibro;normal;0.12
8;vibro;conflict;0.278
8;vibro;normal;0.01
8;vibro;conflict;0.224
8;vibro;normal;0.002
8;vibro;normal;0.014
8;vibro;normal;0.04
8;vibro;conflict;0.276
8;vibro;normal;0.042
8;vibro;normal;0
8;vibro;normal;0
8;vibro;normal;0.058
8;vibro;normal;0.004
8;vibro;conflict;0.116
8;vibro;normal;0.04
8;vibro;normal;0.042
8;vibro;conflict;0.154
8;vibro;normal;0.034
8;vibro;normal;0.002
8;vibro;normal;0.004
8;vibro;normal;0.016
8;vibro;conflict;0.242
8;vibro;normal;0.644
8;vibro;conflict;0.156
8;vibro;normal;0
8;vibro;normal;0.056
8;vibro;normal;0.022
8;vibro;conflict;0.248
8;vibro;normal;0
8;vibro;normal;0
8;vibro;normal;0
8;vibro;normal;0
8;vibro;normal;0
8;vibro;conflict;0.158
8;vibro;normal;0.014
8;vibro;normal;0.016
8;vibro;conflict;0.196
8;vibro;normal;0.018
8;vibro;normal;0.01
8;vibro;normal;0.044
8;vibro;normal;0.046
8;vibro;conflict;0.194
8;vibro;normal;0.026
8;vibro;conflict;0.128
8;vibro;normal;0
8;vibro;normal;0
8;vibro;normal;0
8;vibro;conflict;0.134
8;vibro;normal;0.726
8;vibro;normal;0
8;vibro;normal;0.54
8;vibro;normal;0.566
8;vibro;normal;0.766
8;vibro;conflict;0.066
8;vibro;normal;0.58
8;vibro;normal;0.784
8;vibro;conflict;0.126
8;vibro;normal;0.708
8;vibro;normal;0
8;vibro;normal;0
8;vibro;normal;0
8;vibro;conflict;0.156
8;vibro;normal;0.022
8;vibro;conflict;0.16
8;vibro;normal;0.708
8;vibro;normal;0.654
8;vibro;normal;0.81
8;vibro;conflict;0.144
8;vibro;normal;0
8;vibro;normal;0
8;vibro;normal;0.002
8;vibro;normal;0
8;vibro;normal;0
8;vibro;conflict;0.12
8;vibro;normal;0.02
8;vibro;normal;0.59
