subject;condition;congruency;RT
14;ems;normal;0.1
14;ems;normal;0.126
14;ems;normal;0.13
14;ems;normal;0.146
14;ems;normal;0.114
14;ems;conflict;0.402
14;ems;normal;0.23
14;ems;normal;0.224
14;ems;conflict;0.43
14;ems;normal;0.208
14;ems;normal;0.168
14;ems;normal;0.138
14;ems;normal;0.084
14;ems;conflict;0.344
14;ems;normal;0.17
14;ems;conflict;0.44
14;ems;normal;0.188
14;ems;normal;0.168
14;ems;normal;0.184
14;ems;conflict;0.476
14;ems;normal;0.212
14;ems;normal;0.126
14;ems;normal;0.108
14;ems;normal;0.088
14;ems;normal;0.104
14;ems;conflict;0.352
14;ems;normal;0.042
14;ems;normal;0.08
14;ems;conflict;0.394
14;ems;normal;0.076
14;ems;normal;0.012
14;ems;normal;0.082
14;ems;normal;0.062
14;ems;conflict;0.514
14;ems;normal;0.07
14;ems;conflict;0.408
14;ems;normal;0.168
14;ems;normal;0.08
14;ems;normal;0.052
14;ems;conflict;0.4
14;ems;normal;0.08
14;ems;normal;0.094
14;ems;normal;0.054
14;ems;normal;0.046
14;ems;normal;0.05
14;ems;conflict;0.366
14;ems;normal;0.112
14;ems;normal;0.06
14;ems;conflict;0.344
14;ems;normal;0.158
14;ems;normal;0.072
14;ems;normal;0.064
14;ems;normal;0.024
14;ems;conflict;0.372
14;ems;normal;0.042
14;ems;conflict;0.312
14;ems;normal;0.058
14;ems;normal;0.03
14;ems;normal;0.044
14;ems;conflict;0.316
14;ems;normal;0.062
14;ems;normal;0.054
14;ems;normal;0.08
14;ems;normal;0.084
14;ems;normal;0.076
14;ems;conflict;0.36
14;ems;normal;0.06
14;ems;normal;0.12
14;ems;conflict;0.336
14;ems;normal;0.104
14;ems;normal;0.084
14;ems;normal;0.066
14;ems;normal;0.092
14;ems;conflict;0.522
14;ems;normal;0.1
14;ems;conflict;0.45
14;ems;normal;0.098
14;ems;normal;0.08
14;ems;normal;0.136
14;ems;conflict;0.32
14;ems;normal;0.1
14;ems;normal;0.092
14;ems;normal;0.086
14;ems;normal;0.088
14;ems;normal;0.114
14;ems;conflict;0.398
14;ems;normal;0.098
14;ems;normal;0.126
14;ems;conflict;0.308
14;ems;normal;0.122
14;ems;normal;0.07
14;ems;normal;0.052
14;ems;normal;0.076
14;ems;conflict;0.404
14;ems;normal;0.072
14;ems;conflict;0.41
14;ems;normal;0.148
14;ems;normal;0.084
14;ems;normal;0.086
14;ems;conflict;0.404
14;ems;normal;0.04
14;ems;normal;0.014
14;ems;normal;0.01
14;ems;normal;0.074
14;vibro;normal;0.058
14;vibro;conflict;0.414
14;vibro;normal;0.084
14;vibro;normal;0.074
14;vibro;normal;0.186
14;vibro;conflict;0.378
14;vibro;normal;0.032
14;vibro;normal;0.078
14;vibro;normal;0.222
14;vibro;normal;0.214
14;vibro;conflict;0.362
14;vibro;normal;0.284
14;vibro;normal;0.274
14;vibro;conflict;0.33
14;vibro;normal;0.264
14;vibro;normal;0.144
14;vibro;normal;0.288
14;vibro;normal;0
14;vibro;normal;0.214
14;vibro;conflict;0.74
14;vibro;normal;0.284
14;vibro;conflict;0.564
14;vibro;normal;0.162
14;vibro;normal;0.232
14;vibro;normal;0.266
14;vibro;conflict;0.612
14;vibro;normal;0.168
14;vibro;normal;0.178
14;vibro;normal;0.18
14;vibro;normal;0.194
14;vibro;conflict;0.474
14;vibro;normal;0.296
14;vibro;normal;0.296
14;vibro;conflict;0.51
14;vibro;normal;0.142
14;vibro;normal;0.2
14;vibro;normal;0.176
14;vibro;normal;0.168
14;vibro;normal;0
14;vibro;conflict;0.674
14;vibro;normal;0.138
14;vibro;conflict;0.528
14;vibro;normal;0.23
14;vibro;normal;0.142
14;vibro;normal;0.354
14;vibro;conflict;0.478
14;vibro;normal;0.2
14;vibro;normal;0.134
14;vibro;normal;0.268
14;vibro;normal;0.136
14;vibro;conflict;0.506
14;vibro;normal;0.182
14;vibro;normal;0.306
14;vibro;conflict;0.532
14;vibro;normal;0.14
14;vibro;normal;0.208
14;vibro;normal;0.12
14;vibro;normal;0.156
14;vibro;normal;0.068
14;vibro;conflict;0.628
14;vibro;normal;0.192
14;vibro;conflict;0.54
14;vibro;normal;0.082
14;vibro;normal;0.084
14;vibro;normal;0.162
14;vibro;conflict;0.522
14;vibro;normal;0.21
14;vibro;normal;0.12
14;vibro;normal;0.11
14;vibro;normal;0.402
14;vibro;conflict;0.47
14;vibro;normal;0.192
14;vibro;normal;0.206
14;vibro;conflict;0.474
14;vibro;normal;0.208
14;vibro;normal;0.064
14;vibro;normal;0.164
14;vibro;normal;0.21
