subject;condition;congruency;RT
7;ems;normal;0
7;ems;normal;0.12
7;ems;conflict;0.278
7;ems;normal;0.07
7;ems;normal;0
7;ems;normal;0
7;ems;normal;0.018
7;ems;conflict;0.256
7;ems;normal;0.044
7;ems;conflict;0.192
7;ems;normal;0.04
7;ems;normal;0.028
7;ems;normal;0
7;ems;conflict;0.234
7;ems;normal;0.046
7;ems;normal;0.026
7;ems;normal;0.05
7;ems;normal;0.064
7;ems;normal;0.042
7;ems;conflict;0.18
7;ems;normal;0.082
7;ems;normal;0.072
7;ems;conflict;0.22
7;ems;normal;0.09
7;ems;normal;0
7;ems;normal;0
7;ems;normal;0.04
7;ems;conflict;0.208
7;ems;normal;0
7;ems;conflict;0.146
7;ems;normal;0.014
7;ems;normal;0
7;ems;normal;0.008
7;ems;conflict;0.12
7;ems;normal;0.012
7;ems;normal;0.014
7;ems;normal;0
7;ems;normal;0
7;ems;normal;0.042
7;ems;conflict;0.188
7;ems;normal;0
7;ems;normal;0.05
7;ems;conflict;0.206
7;ems;normal;0.02
7;ems;normal;0
7;ems;normal;0
7;ems;normal;0
7;ems;conflict;0.094
7;ems;normal;0
7;ems;conflict;0.124
7;ems;normal;0
7;ems;normal;0
7;ems;normal;0
7;ems;conflict;0.132
7;ems;normal;0.022
7;ems;normal;0.014
7;ems;normal;0.036
7;ems;normal;0.016
7;ems;normal;0.042
7;ems;conflict;0.166
7;ems;normal;0
7;ems;normal;0
7;ems;conflict;0.218
7;ems;normal;0
7;ems;normal;0.054
7;ems;normal;0
7;ems;normal;0
7;ems;conflict;0.09
7;ems;normal;0.018
7;ems;conflict;0.154
7;ems;normal;0
7;ems;normal;0.058
7;ems;normal;0
7;ems;conflict;0.186
7;ems;normal;0.098
7;ems;normal;0
7;ems;normal;0
7;ems;normal;0
7;ems;normal;0.042
7;ems;conflict;0.144
7;ems;normal;0.012
7;ems;normal;0.036
7;ems;conflict;0.184
7;ems;normal;0
7;ems;normal;0.022
7;ems;normal;0
7;ems;normal;0
7;ems;conflict;0.138
7;ems;normal;0
7;ems;conflict;0.154
7;ems;normal;0.034
7;ems;normal;0
7;ems;normal;0.038
7;ems;conflict;0.174
7;ems;normal;0.122
7;ems;normal;0
7;ems;normal;0.048
7;ems;normal;0
7;ems;normal;0.086
7;ems;conflict;0.168
7;ems;normal;0
7;ems;normal;0
7;ems;normal;0
7;ems;normal;0
7;vibro;normal;0.12
7;vibro;conflict;0.38
7;vibro;normal;0.148
7;vibro;normal;0.114
7;vibro;normal;0.13
7;vibro;conflict;0.274
7;vibro;normal;0.096
7;vibro;normal;0.032
7;vibro;normal;0.112
7;vibro;normal;0.092
7;vibro;conflict;0.282
7;vibro;normal;0.136
7;vibro;normal;0.118
7;vibro;conflict;0.274
7;vibro;normal;0.086
7;vibro;normal;0.086
7;vibro;normal;0.144
7;vibro;normal;0.144
7;vibro;normal;0.156
7;vibro;conflict;0.282
7;vibro;normal;0.138
7;vibro;conflict;0.25
7;vibro;normal;0.096
7;vibro;normal;0.166
7;vibro;normal;0.132
7;vibro;conflict;0.28
7;vibro;normal;0.078
7;vibro;normal;0.014
7;vibro;normal;0.07
7;vibro;normal;0.094
7;vibro;conflict;0.218
7;vibro;normal;0.12
7;vibro;normal;0.122
7;vibro;conflict;0.246
7;vibro;normal;0.102
7;vibro;normal;0.056
7;vibro;normal;0.048
7;vibro;normal;0.128
7;vibro;normal;0
7;vibro;conflict;0.242
7;vibro;normal;0.154
7;vibro;conflict;0.28
7;vibro;normal;0.024
7;vibro;normal;0.036
7;vibro;normal;0.094
7;vibro;conflict;0.174
7;vibro;normal;0.028
7;vibro;normal;0.032
7;vibro;normal;0.02
7;vibro;normal;0.066
7;vibro;conflict;0.224
7;vibro;normal;0.058
7;vibro;normal;0.036
7;vibro;conflict;0.184
7;vibro;normal;0.05
7;vibro;normal;0
7;vibro;normal;0.088
7;vibro;normal;0
7;vibro;normal;0.044
7;vibro;conflict;0.27
7;vibro;normal;0
7;vibro;conflict;0.264
7;vibro;normal;0.062
7;vibro;normal;0.042
7;vibro;normal;0
7;vibro;conflict;0.222
7;vibro;normal;0.124
7;vibro;normal;0
7;vibro;normal;0.07
7;vibro;normal;0.048
7;vibro;conflict;0.196
7;vibro;normal;0
7;vibro;normal;0.12
7;vibro;conflict;0.3
7;vibro;normal;0.078
7;vibro;normal;0.048
7;vibro;normal;0.026
7;vibro;normal;0.128
7;vibro;normal;0.106
7;vibro;conflict;0.298
7;vibro;normal;0.054
7;vibro;conflict;0.234
7;vibro;normal;0
7;vibro;normal;0.024
7;vibro;normal;0.094
7;vibro;conflict;0.24
7;vibro;normal;0.03
7;vibro;normal;0.052
7;vibro;normal;0.096
7;vibro;normal;0.066
7;vibro;conflict;0.258
7;vibro;normal;0.102
7;vibro;normal;0.026
7;vibro;conflict;0.206
7;vibro;normal;0.094
7;vibro;normal;0.03
7;vibro;normal;0.066
7;vibro;normal;0.088
7;vibro;normal;0.078
7;vibro;conflict;0.202
7;vibro;normal;0.108
7;vibro;conflict;0.22
7;vibro;normal;0.1
7;vibro;normal;0.1
7;vibro;normal;0.002
7;vibro;conflict;0.258
