subject;condition;congruency;RT
19;vibro;normal;0.16
19;vibro;normal;0.262
19;vibro;conflict;0.432
19;vibro;normal;0.11
19;vibro;normal;0.01
19;vibro;normal;0.046
19;vibro;normal;0
19;vibro;conflict;0.32
19;vibro;normal;0.242
19;vibro;normal;0.188
19;vibro;normal;0
19;vibro;conflict;0.428
19;vibro;normal;0
19;vibro;conflict;0.332
19;vibro;normal;0
19;vibro;normal;0.176
19;vibro;normal;0.224
19;vibro;normal;0
19;vibro;normal;0.014
19;vibro;conflict;0.34
19;vibro;normal;0.13
19;vibro;normal;0.22
19;vibro;conflict;0.31
19;vibro;normal;0.102
19;vibro;normal;0.024
19;vibro;normal;0.082
19;vibro;normal;0
19;vibro;conflict;0.332
19;vibro;normal;0.122
19;vibro;normal;0
19;vibro;normal;0.116
19;vibro;conflict;0.22
19;vibro;normal;0
19;vibro;conflict;0.226
19;vibro;normal;0.094
19;vibro;normal;0.15
19;vibro;normal;0.174
19;vibro;normal;0
19;vibro;normal;0
19;vibro;conflict;0.336
19;vibro;normal;0.002
19;vibro;normal;0
19;vibro;conflict;0.252
19;vibro;normal;0
19;vibro;normal;0
19;vibro;normal;0
19;vibro;normal;0
19;vibro;conflict;0.216
19;vibro;normal;0
19;vibro;normal;0
19;vibro;normal;0.074
19;vibro;conflict;0.21
19;vibro;normal;0
19;vibro;conflict;0.192
19;vibro;normal;0
19;vibro;normal;0
19;vibro;normal;0
19;vibro;normal;0.098
19;vibro;normal;0
19;vibro;conflict;0.178
19;vibro;normal;0
19;vibro;normal;0
19;vibro;conflict;0.208
19;vibro;normal;0.142
19;vibro;normal;0.01
19;vibro;normal;0.056
19;vibro;normal;0.072
19;vibro;conflict;0.194
19;vibro;normal;0
19;vibro;normal;0.108
19;vibro;normal;0
19;vibro;conflict;0.19
19;vibro;normal;0.002
19;vibro;conflict;0.226
19;vibro;normal;0
19;vibro;normal;0
19;vibro;normal;0.074
19;vibro;normal;0
19;vibro;normal;0
19;vibro;conflict;0.226
19;vibro;normal;0.05
19;vibro;normal;0
19;vibro;conflict;0.22
19;vibro;normal;0.144
19;vibro;normal;0.056
19;vibro;normal;0
19;vibro;normal;0
19;vibro;conflict;0.196
19;vibro;normal;0
19;vibro;normal;0
19;vibro;normal;0.02
19;vibro;conflict;0.146
19;vibro;normal;0
19;vibro;conflict;0.194
19;vibro;normal;0.216
19;vibro;normal;0
19;vibro;normal;0
19;vibro;normal;0
19;vibro;normal;0.012
19;vibro;conflict;0.214
19;vibro;normal;0.032
19;vibro;normal;0
19;vibro;conflict;0.39
19;vibro;normal;0.092
19;vibro;normal;0
19;vibro;normal;0.12
19;vibro;normal;0.098
19;vibro;conflict;0.402
19;vibro;normal;0.18
19;vibro;normal;0.004
19;vibro;normal;0
19;vibro;conflict;0.342
19;vibro;normal;0.164
19;vibro;conflict;0.278
19;vibro;normal;0.08
19;vibro;normal;0.102
19;vibro;normal;0.026
19;vibro;normal;0
19;vibro;normal;0.166
19;vibro;conflict;0.48
19;vibro;normal;0.1
19;vibro;normal;0
19;vibro;conflict;0.382
19;vibro;normal;0.128
19;vibro;normal;0.05
19;vibro;normal;0.298
19;vibro;normal;0.078
19;vibro;conflict;0.324
19;vibro;normal;0.158
19;vibro;normal;0
19;vibro;normal;0
19;vibro;conflict;0.276
19;vibro;normal;0.132
19;vibro;conflict;0.178
19;vibro;normal;0.136
19;vibro;normal;0
19;vibro;normal;0.028
19;vibro;normal;0.096
19;vibro;normal;0.132
19;vibro;conflict;0.266
19;vibro;normal;0.19
19;vibro;normal;0.036
19;vibro;conflict;0.428
19;vibro;normal;0
19;vibro;normal;0
19;vibro;normal;0.088
19;vibro;normal;0
19;vibro;conflict;0.326
19;vibro;normal;0.058
19;vibro;normal;0.206
19;vibro;normal;0.196
19;vibro;conflict;0.288
19;vibro;normal;0.034
19;vibro;conflict;0.514
19;vibro;normal;0.214
19;vibro;normal;0.182
19;vibro;normal;0
19;vibro;normal;0
19;vibro;normal;0.166
19;vibro;conflict;0.302
19;vibro;normal;0.014
19;vibro;normal;0.184
19;vibro;conflict;0.318
19;vibro;normal;0
19;vibro;normal;0.02
19;vibro;normal;0.234
19;vibro;normal;0.146
19;vibro;conflict;0.318
19;vibro;normal;0.06
19;vibro;normal;0
19;vibro;normal;0.166
19;vibro;conflict;0.234
19;vibro;normal;0.012
19;vibro;conflict;0.28
19;vibro;normal;0.048
19;vibro;normal;0
19;vibro;normal;0
19;vibro;normal;0.02
19;vibro;normal;0
19;vibro;conflict;0.272
19;vibro;normal;0
19;vibro;normal;0.074
19;vibro;conflict;0.206
19;vibro;normal;0.042
19;vibro;normal;0.022
19;vibro;normal;0
19;vibro;normal;0
19;vibro;conflict;0.172
19;vibro;normal;0
19;vibro;normal;0.008
19;vibro;normal;0.032
19;vibro;conflict;0.29
19;vibro;normal;0
19;vibro;conflict;0.328
19;vibro;normal;0
19;vibro;normal;0
19;vibro;normal;1.238
19;vibro;normal;0.022
19;vibro;normal;0
19;vibro;conflict;0.326
19;vibro;normal;0
19;vibro;normal;0.212
19;vibro;conflict;0.334
19;vibro;normal;0.058
19;vibro;normal;0
19;vibro;normal;0
