subject;condition;congruency;RT
17;vibro;normal;0
17;vibro;normal;0.15
17;vibro;conflict;0.766
17;vibro;normal;0.118
17;vibro;normal;0
17;vibro;normal;0
17;vibro;normal;0.076
17;vibro;normal;0.132
17;vibro;conflict;0.424
17;vibro;normal;0.112
17;vibro;normal;0.114
17;vibro;normal;0.09
17;vibro;normal;0.058
17;vibro;conflict;0.34
17;vibro;normal;0.048
17;vibro;conflict;0.352
17;vibro;normal;0.062
17;vibro;normal;0.13
17;vibro;normal;0.096
17;vibro;conflict;0.444
17;vibro;normal;0.108
17;vibro;normal;0.1
17;vibro;conflict;0.524
17;vibro;normal;0.078
17;vibro;normal;0.134
17;vibro;normal;0.124
17;vibro;normal;0.092
17;vibro;normal;0.138
17;vibro;conflict;0.664
17;vibro;normal;0.118
17;vibro;normal;0.194
17;vibro;normal;0.074
17;vibro;normal;0.152
17;vibro;conflict;0.522
17;vibro;normal;0.132
17;vibro;conflict;0.444
17;vibro;normal;0.134
17;vibro;normal;0.044
17;vibro;normal;0
17;vibro;conflict;0.27
17;vibro;normal;0.126
17;vibro;normal;0.15
17;vibro;conflict;0.328
17;vibro;normal;0.16
17;vibro;normal;0.164
17;vibro;normal;0.184
17;vibro;normal;0.02
17;vibro;normal;0
17;vibro;conflict;0.378
17;vibro;normal;0.1
17;vibro;normal;0
17;vibro;normal;0.036
17;vibro;normal;0.09
17;vibro;conflict;0.348
17;vibro;normal;0.104
17;vibro;conflict;0.406
17;vibro;normal;0.094
17;vibro;normal;0.194
17;vibro;normal;0.062
17;vibro;conflict;0.396
17;vibro;normal;0.086
17;vibro;normal;0.064
17;vibro;conflict;0.31
17;vibro;normal;0.098
17;vibro;normal;0.102
17;vibro;normal;0.112
17;vibro;normal;0.09
17;vibro;normal;0.102
17;vibro;conflict;0.36
17;vibro;normal;0.116
17;vibro;normal;0.104
17;vibro;normal;0.172
17;vibro;normal;0.094
17;vibro;conflict;0.32
17;vibro;normal;0.106
17;vibro;conflict;0.298
17;vibro;normal;0.032
17;vibro;normal;0.044
17;vibro;normal;0.1
17;vibro;conflict;0.49
17;vibro;normal;0.092
17;vibro;normal;0.08
17;vibro;conflict;0.382
