subject;condition;congruency;RT
15;ems;normal;0.028
15;ems;normal;0.03
15;ems;normal;0.01
15;ems;normal;0.022
15;ems;conflict;0.402
15;ems;normal;0.012
15;ems;conflict;0.394
15;ems;normal;0.026
15;ems;normal;0
15;ems;normal;0.028
15;ems;normal;0
15;ems;normal;0.008
15;ems;conflict;0.522
15;ems;normal;0.032
15;ems;normal;0
15;ems;normal;0
15;ems;conflict;0.816
15;ems;normal;0.014
15;ems;normal;0.05
15;ems;conflict;0.374
15;ems;normal;0
15;ems;normal;0
15;ems;normal;0
15;ems;normal;0.01
15;ems;conflict;0.446
15;ems;normal;0
15;ems;conflict;0.404
15;ems;normal;0.002
15;ems;normal;0.004
15;ems;normal;0.016
15;ems;normal;0.028
15;ems;normal;0.264
15;ems;conflict;0.4
15;ems;normal;0
15;ems;normal;0
15;ems;normal;0.046
15;ems;conflict;0.47
15;ems;normal;0.248
15;ems;normal;0.048
15;ems;conflict;0.386
15;ems;normal;0.028
15;ems;normal;0.04
15;ems;normal;0.086
15;ems;normal;0
15;ems;conflict;0.39
15;ems;normal;0.022
15;ems;conflict;0.604
15;ems;normal;0.056
15;ems;normal;0.182
15;ems;normal;0
15;ems;normal;0
15;ems;normal;0
15;ems;conflict;0.512
15;ems;normal;0.01
15;ems;normal;0.032
15;ems;normal;0.056
15;ems;conflict;0.336
15;ems;normal;0.014
15;ems;normal;0.038
15;ems;conflict;0.562
15;ems;normal;0
15;ems;normal;0.07
15;ems;normal;0.098
15;ems;normal;0.032
15;ems;conflict;0.568
15;ems;normal;0.09
15;ems;conflict;0.526
15;ems;normal;0.226
15;ems;normal;0.048
15;ems;normal;0.026
15;ems;normal;0.05
15;ems;normal;0.218
15;ems;conflict;0.354
15;ems;normal;0.03
15;ems;normal;0.02
15;ems;normal;0.032
15;ems;conflict;0.56
15;ems;normal;0.056
15;ems;normal;0
15;ems;conflict;0.55
15;ems;normal;0.06
15;ems;normal;0.006
15;ems;normal;0.052
15;ems;normal;0
15;ems;conflict;0.328
15;ems;normal;0.01
15;ems;conflict;0.57
15;ems;normal;0
15;ems;normal;0
15;ems;normal;0
15;ems;normal;0
15;ems;normal;0.094
15;ems;conflict;0.442
15;ems;normal;0.042
15;ems;normal;0.098
15;ems;normal;0.044
15;ems;conflict;0.368
15;ems;normal;0.046
15;ems;normal;0.036
15;ems;conflict;0.494
15;ems;normal;0.016
15;ems;normal;0.03
15;ems;normal;0
15;ems;normal;0.04
15;ems;normal;0.02
15;vibro;normal;0.058
15;vibro;conflict;0.562
15;vibro;normal;0.062
15;vibro;normal;0
15;vibro;conflict;0.366
15;vibro;normal;0
15;vibro;normal;0.044
15;vibro;normal;0
15;vibro;normal;0
15;vibro;conflict;1.108
15;vibro;normal;0
15;vibro;normal;0
15;vibro;normal;0.008
15;vibro;conflict;0.668
15;vibro;normal;0
15;vibro;normal;0.066
15;vibro;normal;0.026
15;vibro;normal;0
15;vibro;normal;0
15;vibro;conflict;0.454
15;vibro;normal;0
15;vibro;conflict;0.836
15;vibro;normal;0.056
15;vibro;normal;0.078
15;vibro;conflict;0.726
15;vibro;normal;0.06
15;vibro;normal;0
15;vibro;normal;0.084
15;vibro;normal;0.042
15;vibro;conflict;0.59
15;vibro;normal;0
15;vibro;normal;0.032
15;vibro;normal;0.09
15;vibro;conflict;0.504
15;vibro;normal;0.016
15;vibro;normal;0.16
15;vibro;normal;0.14
15;vibro;normal;0.028
15;vibro;normal;0.018
15;vibro;conflict;0.67
15;vibro;normal;0.146
15;vibro;conflict;0.648
15;vibro;normal;0.024
15;vibro;normal;0.08
15;vibro;conflict;0.538
15;vibro;normal;0.084
15;vibro;normal;0.162
15;vibro;normal;0.052
15;vibro;normal;0
15;vibro;conflict;0.558
15;vibro;normal;0.168
15;vibro;normal;0
15;vibro;normal;0.06
15;vibro;conflict;0.708
15;vibro;normal;0.084
15;vibro;normal;0
15;vibro;normal;0.052
15;vibro;normal;0.144
15;vibro;normal;0.168
15;vibro;conflict;0.604
15;vibro;normal;0.092
15;vibro;conflict;0.662
15;vibro;normal;0.138
15;vibro;normal;0.108
15;vibro;conflict;0.454
15;vibro;normal;0.122
15;vibro;normal;0.132
15;vibro;normal;0.034
15;vibro;normal;0.136
15;vibro;conflict;0.482
15;vibro;normal;0.082
15;vibro;normal;0.106
15;vibro;normal;0.05
15;vibro;conflict;0.566
15;vibro;normal;0.098
15;vibro;normal;0.1
15;vibro;normal;0.212
15;vibro;normal;0.08
15;vibro;normal;0.126
15;vibro;conflict;0.496
15;vibro;normal;0.142
15;vibro;conflict;0.51
15;vibro;normal;0.186
15;vibro;normal;0.176
15;vibro;conflict;0.604
15;vibro;normal;0.28
15;vibro;normal;0.124
15;vibro;normal;0.226
15;vibro;normal;0.172
15;vibro;conflict;0.632
15;vibro;normal;0.096
15;vibro;normal;0.078
15;vibro;normal;0.234
15;vibro;conflict;0.626
15;vibro;normal;0.09
15;vibro;normal;0.306
15;vibro;normal;0.092
15;vibro;normal;0.216
15;vibro;normal;0.118
15;vibro;conflict;0.568
15;vibro;normal;0.078
15;vibro;conflict;0.358
15;vibro;normal;0.08
15;vibro;normal;0.058
15;vibro;conflict;0.652
15;vibro;normal;0.05
15;vibro;normal;0.12
15;vibro;normal;0.142
15;vibro;normal;0.1
15;vibro;conflict;0.736
15;vibro;normal;0.134
15;vibro;normal;0.136
15;vibro;normal;0.116
15;vibro;conflict;0.798
15;vibro;normal;0.04
15;vibro;normal;0.096
15;vibro;normal;0.22
15;vibro;normal;0.122
15;vibro;normal;0.08
15;vibro;conflict;0.796
15;vibro;normal;0.206
15;vibro;conflict;0.732
15;vibro;normal;0.006
15;vibro;normal;0.13
15;vibro;conflict;0.646
15;vibro;normal;0.11
15;vibro;normal;0.178
15;vibro;normal;0.136
15;vibro;normal;0.07
15;vibro;conflict;0.574
15;vibro;normal;0
15;vibro;normal;0.118
15;vibro;normal;0.108
15;vibro;conflict;0.522
15;vibro;normal;0.19
15;vibro;normal;0.062
15;vibro;normal;0.224
15;vibro;normal;0.126
15;vibro;normal;0.106
15;vibro;conflict;0.52
15;vibro;normal;0.152
15;vibro;conflict;0.556
15;vibro;normal;0.278
15;vibro;normal;0.236
15;vibro;conflict;0.618
15;vibro;normal;0.182
15;vibro;normal;0.262
15;vibro;normal;0.118
15;vibro;normal;0.2
15;vibro;conflict;0.59
15;vibro;normal;0.168
15;vibro;normal;0.134
15;vibro;normal;0.146
15;vibro;conflict;0.428
15;vibro;normal;0.082
15;vibro;normal;0.15
15;vibro;normal;0.11
15;vibro;normal;0.208
15;vibro;normal;0.098
15;vibro;conflict;0.468
15;vibro;normal;0.19
15;vibro;conflict;0.516
15;vibro;normal;0.126
15;vibro;normal;0.128
15;vibro;conflict;0.728
15;vibro;normal;0.132
15;vibro;normal;0.21
15;vibro;normal;0.088
15;vibro;normal;0.112
15;vibro;conflict;0.638
15;vibro;normal;0.102
15;vibro;normal;0.06
15;vibro;normal;0.106
15;vibro;conflict;0.554
15;vibro;normal;0.14
15;vibro;normal;0.152
15;vibro;normal;0.056
15;vibro;normal;0.178
15;vibro;normal;0.16
15;vibro;conflict;0.628
15;vibro;normal;0.104
15;vibro;conflict;0.664
15;vibro;normal;0.23
15;vibro;normal;0.142
15;vibro;conflict;0.668
15;vibro;normal;0.28
15;vibro;normal;0.158
15;vibro;normal;0.27
15;vibro;normal;0.194
15;vibro;conflict;0.664
15;vibro;normal;0.152
15;vibro;normal;0.298
15;vibro;normal;0.31
15;vibro;conflict;0.536
15;vibro;normal;0.1
15;vibro;normal;0.236
15;vibro;normal;0.216
15;vibro;normal;0.194
15;vibro;normal;0.252
15;vibro;conflict;0.522
15;vibro;normal;0
15;vibro;conflict;0.51
15;vibro;normal;0.144
15;vibro;normal;0.244
15;vibro;conflict;0.582
15;vibro;normal;0.168
15;vibro;normal;0.148
15;vibro;normal;0.048
15;vibro;normal;0.194
15;vibro;conflict;0.62
15;vibro;normal;0.242
15;vibro;normal;0.064
15;vibro;normal;0.278
15;vibro;conflict;0.546
15;vibro;normal;0.146
15;vibro;normal;0.124
15;vibro;normal;0.182
15;vibro;normal;0.128
15;vibro;normal;0.084
15;vibro;conflict;0.632
15;vibro;normal;0.142
15;vibro;conflict;0.624
15;vibro;normal;0.222
15;vibro;normal;0.146
15;vibro;conflict;0.706
15;vibro;normal;0
15;vibro;normal;0.118
15;vibro;normal;0.186
15;vibro;normal;0.164
15;vibro;conflict;1.08
15;vibro;normal;0.11
15;vibro;normal;0.38
15;vibro;normal;0.07
15;vibro;conflict;0.562
15;vibro;normal;0.284
15;vibro;normal;0.138
15;vibro;normal;0.084
15;vibro;normal;0.152
15;vibro;normal;0.054
15;vibro;conflict;0.87
15;vibro;normal;0.414
15;vibro;conflict;0.628
15;vibro;normal;0.26
15;vibro;normal;0.06
15;vibro;conflict;0.642
15;vibro;normal;0.064
15;vibro;normal;0.074
15;vibro;normal;0.11
15;vibro;normal;0.234
15;vibro;conflict;0.582
15;vibro;normal;0.114
15;vibro;normal;0
15;vibro;normal;0.076
15;vibro;conflict;0.62
15;vibro;normal;0.152
15;vibro;normal;0.11
15;vibro;normal;0.19
15;vibro;normal;0.134
15;vibro;normal;0.226
15;vibro;conflict;0.628
15;vibro;normal;0.182
15;vibro;conflict;0.476
15;vibro;normal;0.176
15;vibro;normal;0.076
15;vibro;conflict;0.578
15;vibro;normal;0.068
15;vibro;normal;0.058
15;vibro;normal;0.092
15;vibro;normal;0.094
15;vibro;conflict;0.542
15;vibro;normal;0.094
15;vibro;normal;0.098
15;vibro;normal;0.332
15;vibro;conflict;0.614
15;vibro;normal;0.224
15;vibro;normal;0.058
15;vibro;normal;0.126
15;vibro;normal;0.16
15;vibro;normal;0.23
15;vibro;conflict;0.644
15;vibro;normal;0.142
15;vibro;conflict;0.5
15;vibro;normal;0.078
15;vibro;normal;0.192
15;vibro;conflict;0.584
15;vibro;normal;0.16
15;vibro;normal;0.16
15;vibro;normal;0.152
15;vibro;normal;0.174
15;vibro;conflict;0.656
15;vibro;normal;0.112
15;vibro;normal;0.056
15;vibro;normal;0.046
15;vibro;conflict;0.56
15;vibro;normal;0.05
15;vibro;normal;0.182
15;vibro;normal;0.252
15;vibro;normal;0.086
15;vibro;normal;0.222
15;vibro;conflict;0.546
15;visual;normal;0.056
15;visual;normal;0.18
15;visual;conflict;0.518
15;visual;normal;0.16
15;visual;normal;0.04
15;visual;normal;0
15;visual;normal;0.178
15;visual;normal;0.086
15;visual;conflict;0.636
15;visual;normal;0.102
15;visual;conflict;0.84
15;visual;normal;0.15
15;visual;normal;0.33
15;visual;normal;0.252
15;visual;conflict;0.676
15;visual;normal;0.254
15;visual;normal;0.088
15;visual;normal;0.134
15;visual;normal;0.124
15;visual;conflict;0.65
15;visual;normal;0.082
15;visual;normal;0.182
15;visual;conflict;0.596
15;visual;normal;0.17
15;visual;normal;0.142
15;visual;normal;0.12
15;visual;normal;0.134
15;visual;normal;0.178
15;visual;conflict;0.504
15;visual;normal;0.192
15;visual;conflict;0.496
15;visual;normal;0.178
15;visual;normal;0.264
15;visual;normal;0.242
15;visual;conflict;0.512
15;visual;normal;0.234
15;visual;normal;0.246
15;visual;normal;0.214
15;visual;normal;0.098
15;visual;conflict;0.428
15;visual;normal;0
15;visual;normal;0.14
15;visual;conflict;0.556
15;visual;normal;0.084
15;visual;normal;0.222
15;visual;normal;0.156
15;visual;normal;0.1
15;visual;normal;0.136
15;visual;conflict;0.504
15;visual;normal;0.092
15;visual;conflict;0.486
15;visual;normal;0.084
15;visual;normal;0.054
15;visual;normal;0.132
15;visual;conflict;0.624
15;visual;normal;0.134
15;visual;normal;0.17
15;visual;normal;0.204
15;visual;normal;0.094
15;visual;conflict;0.496
15;visual;normal;0.21
15;visual;normal;0.118
15;visual;conflict;0.432
15;visual;normal;0.086
15;visual;normal;0.232
15;visual;normal;0.146
15;visual;normal;0.134
15;visual;normal;0.114
15;visual;conflict;0.486
15;visual;normal;0.106
15;visual;conflict;0.376
15;visual;normal;0.22
15;visual;normal;0.142
15;visual;normal;0.166
15;visual;conflict;0.28
15;visual;normal;0.146
15;visual;normal;0.068
15;visual;normal;0.102
15;visual;normal;0
15;visual;conflict;0.398
15;visual;normal;0.184
15;visual;normal;0.154
15;visual;conflict;0.536
15;visual;normal;0.068
15;visual;normal;0.1
15;visual;normal;0.036
15;visual;normal;0.082
15;visual;normal;0.184
15;visual;conflict;0.454
15;visual;normal;0.118
15;visual;conflict;0.468
15;visual;normal;0.188
15;visual;normal;0.088
15;visual;normal;0.112
15;visual;conflict;0.382
15;visual;normal;0.004
15;visual;normal;0.14
15;visual;normal;0.118
15;visual;normal;0.064
15;visual;conflict;0.5
15;visual;normal;0
15;visual;normal;0.194
15;visual;conflict;0.574
15;visual;normal;0.06
15;visual;normal;0.006
15;visual;normal;0.008
15;visual;normal;0.042
15;visual;normal;0.088
15;visual;conflict;0.67
15;visual;normal;0.046
15;visual;conflict;0.428
15;visual;normal;0.058
15;visual;normal;0.204
15;visual;normal;0.14
15;visual;conflict;0.342
15;visual;normal;0.22
15;visual;normal;0.156
15;visual;normal;0.144
15;visual;normal;0.236
15;visual;conflict;0.338
15;visual;normal;0.216
15;visual;normal;0.182
15;visual;conflict;0.474
15;visual;normal;0.218
15;visual;normal;0.12
15;visual;normal;0.176
15;visual;normal;0.042
15;visual;normal;0.168
15;visual;conflict;0.516
15;visual;normal;0.192
15;visual;conflict;0.53
15;visual;normal;0.162
15;visual;normal;0.218
15;visual;normal;0.24
15;visual;conflict;0.466
15;visual;normal;0.232
15;visual;normal;0.214
15;visual;normal;0.134
15;visual;normal;0.27
15;visual;conflict;0.484
15;visual;normal;0.116
15;visual;normal;0.13
15;visual;conflict;0.52
15;visual;normal;0.13
15;visual;normal;0.134
15;visual;normal;0.22
15;visual;normal;0.202
15;visual;normal;0.102
15;visual;conflict;0.45
15;visual;normal;0.15
15;visual;conflict;0.352
15;visual;normal;0.13
15;visual;normal;0.118
15;visual;normal;0.176
15;visual;conflict;0.434
15;visual;normal;0.168
15;visual;normal;0.134
15;visual;normal;0.192
15;visual;normal;0.172
15;visual;conflict;0.306
15;visual;normal;0.14
15;visual;normal;0.162
15;visual;conflict;0.398
15;visual;normal;0.22
15;visual;normal;0.178
15;visual;normal;0.2
15;visual;normal;0.124
15;visual;normal;0.08
15;visual;conflict;0.294
15;visual;normal;0.072
15;visual;conflict;0.386
15;visual;normal;0.008
15;visual;normal;0.076
15;visual;normal;0.218
15;visual;conflict;0.402
15;visual;normal;0.134
15;visual;normal;0.146
15;visual;normal;0.104
15;visual;normal;0.182
15;visual;conflict;0.384
15;visual;normal;0.128
15;visual;normal;0.198
15;visual;conflict;0.356
15;visual;normal;0.088
15;visual;normal;0.044
15;visual;normal;0.034
15;visual;normal;0.158
15;visual;normal;0.082
15;visual;conflict;0.262
15;visual;normal;0.128
15;visual;conflict;0.218
15;visual;normal;0.096
15;visual;normal;0.076
15;visual;normal;0.022
15;visual;conflict;0.392
15;visual;normal;0.124
15;visual;normal;0.126
15;visual;normal;0.082
15;visual;normal;0.106
15;visual;conflict;0.262
15;visual;normal;0.032
15;visual;normal;0.176
15;visual;conflict;0.39
15;visual;normal;0.134
15;visual;normal;0.092
15;visual;normal;0.172
15;visual;normal;0.15
15;visual;normal;0.108
15;visual;conflict;0.376
15;visual;normal;0.176
15;visual;conflict;0.412
15;visual;normal;0.102
15;visual;normal;0.08
15;visual;normal;0.114
15;visual;conflict;0.282
15;visual;normal;0.06
15;visual;normal;0.106
