subject;condition;congruency;RT
12;ems;normal;0.016
12;ems;normal;0
12;ems;normal;0
12;ems;normal;0.036
12;ems;conflict;0.216
12;ems;normal;0.016
12;ems;normal;1.078
12;ems;conflict;0.21
12;ems;normal;0.012
12;ems;conflict;0.144
12;ems;normal;0
12;ems;normal;0.094
12;ems;normal;0.098
12;ems;normal;0.052
12;ems;normal;0.032
12;ems;conflict;0.224
12;ems;normal;0
12;ems;normal;0.048
12;ems;normal;0.028
12;ems;conflict;0.22
12;ems;normal;0.042
12;ems;normal;0.08
12;ems;normal;0.068
12;ems;normal;0.072
12;ems;conflict;0.24
12;ems;normal;0
12;ems;normal;0.076
12;ems;conflict;0.28
12;ems;normal;0.068
12;ems;conflict;0.294
12;ems;normal;0.018
12;ems;normal;0.028
12;ems;normal;0.03
12;ems;normal;0.046
12;ems;normal;0.024
12;ems;conflict;0.226
12;ems;normal;0.05
12;ems;normal;0.04
12;ems;normal;0
12;ems;conflict;0.256
12;ems;normal;0.056
12;ems;normal;0.004
12;ems;normal;0.038
12;ems;normal;0.052
12;ems;conflict;0.232
12;ems;normal;0.054
12;ems;normal;0.024
12;ems;conflict;0.182
12;ems;normal;0.028
12;ems;conflict;0.206
12;ems;normal;0.02
12;ems;normal;0.022
12;ems;normal;0
12;ems;normal;0.036
12;ems;normal;0.016
12;ems;conflict;0.206
12;ems;normal;0.064
12;ems;normal;0.044
12;ems;normal;0.058
12;ems;conflict;0.26
12;ems;normal;0
12;ems;normal;0.052
12;ems;normal;0.064
12;ems;normal;0.032
12;ems;conflict;0.188
12;ems;normal;0.002
12;ems;normal;0
12;ems;conflict;0.228
12;ems;normal;0.052
12;ems;conflict;0.188
12;ems;normal;0.034
12;ems;normal;0
12;ems;normal;0
12;ems;normal;0.074
12;ems;normal;0.018
12;ems;conflict;0.178
12;ems;normal;0.034
12;ems;normal;0
12;ems;normal;0.138
12;ems;conflict;0.184
12;ems;normal;0.008
12;ems;normal;0
12;ems;normal;0.012
12;ems;normal;0.024
12;ems;conflict;0.206
12;ems;normal;0.018
12;ems;normal;0
12;ems;conflict;0.164
12;ems;normal;0.012
12;ems;conflict;0.156
12;ems;normal;0.026
12;ems;normal;0
12;ems;normal;0.03
12;ems;normal;0.018
12;ems;normal;0
12;ems;conflict;0.202
12;ems;normal;0.06
12;ems;normal;0
12;ems;normal;0.03
12;ems;conflict;0.242
12;ems;normal;0.058
12;ems;normal;0.026
12;ems;normal;0.038
12;vibro;normal;0.026
12;vibro;normal;0.086
12;vibro;normal;0
12;vibro;normal;0
12;vibro;normal;0.032
12;vibro;conflict;0.202
12;vibro;normal;0
12;vibro;conflict;0.192
12;vibro;normal;0.004
12;vibro;normal;0.028
12;vibro;normal;0
12;vibro;normal;0.018
12;vibro;conflict;0.208
12;vibro;normal;0.03
12;vibro;normal;0.912
12;vibro;normal;0.054
12;vibro;conflict;0.246
12;vibro;normal;0.004
12;vibro;normal;0.034
12;vibro;conflict;0.17
12;vibro;normal;0
12;vibro;normal;0.028
12;vibro;normal;0.028
12;vibro;normal;0.064
12;vibro;normal;0.03
12;vibro;conflict;0.178
12;vibro;normal;0.936
12;vibro;conflict;0.202
12;vibro;normal;0.034
12;vibro;normal;0
12;vibro;normal;0
12;vibro;normal;0
12;vibro;conflict;0.174
12;vibro;normal;0.04
12;vibro;normal;0.03
12;vibro;normal;0
12;vibro;conflict;0.166
12;vibro;normal;0.044
12;vibro;normal;1.038
12;vibro;conflict;0.202
12;vibro;normal;0.012
12;vibro;normal;0
12;vibro;normal;0.038
12;vibro;normal;0.016
12;vibro;normal;0
12;vibro;conflict;0.196
12;vibro;normal;0
12;vibro;conflict;0.164
12;vibro;normal;0.132
12;vibro;normal;0.032
12;vibro;normal;0.046
12;vibro;normal;0.036
12;vibro;conflict;0.214
12;vibro;normal;0.002
12;vibro;normal;0
12;vibro;normal;0.038
12;vibro;conflict;0.252
12;vibro;normal;0.03
12;vibro;normal;0
12;vibro;conflict;0.188
12;vibro;normal;0
12;vibro;normal;0.066
12;vibro;normal;0
12;vibro;normal;0
12;vibro;normal;0.036
12;vibro;conflict;0.214
12;vibro;normal;0
12;vibro;conflict;0.218
12;vibro;normal;0.04
12;vibro;normal;0.008
12;vibro;normal;0.064
12;vibro;normal;0.066
12;vibro;conflict;0.212
12;vibro;normal;0
12;vibro;normal;0.036
12;vibro;normal;0.906
