subject;condition;congruency;RT
11;ems;normal;0.066
11;ems;normal;0.128
11;ems;conflict;0.308
11;ems;normal;0.11
11;ems;normal;0.1
11;ems;normal;0.08
11;ems;conflict;0.296
11;ems;normal;0.03
11;ems;normal;0.122
11;ems;normal;0.056
11;ems;normal;0.094
11;ems;normal;0.008
11;ems;conflict;0.31
11;ems;normal;0.088
11;ems;conflict;0.26
11;ems;normal;0.038
11;ems;normal;0.098
11;ems;normal;0.044
11;ems;normal;0.07
11;ems;conflict;0.306
11;ems;normal;0.096
11;ems;normal;0.122
11;ems;conflict;0.27
11;ems;normal;0.094
11;ems;normal;0.106
11;ems;normal;0.088
11;ems;conflict;0.256
11;ems;normal;0.036
11;ems;normal;0.062
11;ems;normal;0.108
11;ems;normal;0.1
11;ems;normal;0.092
11;ems;conflict;0.306
11;ems;normal;0.118
11;ems;conflict;0.312
11;ems;normal;0.112
11;ems;normal;0.126
11;ems;normal;0.108
11;ems;normal;0.088
11;ems;conflict;0.312
11;ems;normal;0.138
11;ems;normal;0.106
11;ems;conflict;0.298
11;ems;normal;0.146
11;ems;normal;0.114
11;ems;normal;0.094
11;ems;conflict;0.354
11;ems;normal;0.166
11;ems;normal;0.092
11;ems;normal;0.148
11;ems;normal;0.096
11;ems;normal;0.12
11;ems;conflict;0.322
11;ems;normal;0.182
11;ems;conflict;0.364
11;ems;normal;0.152
11;ems;normal;0.166
11;ems;normal;0.158
11;ems;normal;0.072
11;ems;conflict;0.252
11;ems;normal;0.088
11;ems;normal;0.046
11;ems;conflict;0.27
11;ems;normal;0
11;ems;normal;0.03
11;ems;normal;0.122
11;ems;conflict;0.292
11;ems;normal;0.082
11;ems;normal;0.118
11;ems;normal;0.022
11;ems;normal;0.058
11;ems;normal;0.06
11;ems;conflict;0.286
11;ems;normal;0.12
11;ems;conflict;0.268
11;ems;normal;0.09
11;ems;normal;0.084
11;ems;normal;0.12
11;ems;normal;0.122
11;ems;conflict;0.292
11;ems;normal;0.092
11;ems;normal;0.096
11;ems;conflict;0.344
11;ems;normal;0.122
11;ems;normal;0.126
11;ems;normal;0.082
11;ems;conflict;0.266
11;ems;normal;0.11
11;ems;normal;0.126
11;ems;normal;0.138
11;ems;normal;0.118
11;ems;normal;0.054
11;ems;conflict;0.268
11;ems;normal;0.08
11;ems;conflict;0.25
11;ems;normal;0.052
11;ems;normal;0.022
11;ems;normal;0.1
11;ems;normal;0.082
11;ems;conflict;0.234
11;ems;normal;0
11;ems;normal;0.092
11;ems;normal;0.126
11;ems;normal;0.106
11;ems;normal;0.118
11;vibro;normal;0
11;vibro;normal;0.094
11;vibro;normal;0
11;vibro;normal;0.062
11;vibro;conflict;0.31
11;vibro;normal;0.118
11;vibro;normal;0.088
11;vibro;conflict;0.278
11;vibro;normal;0
11;vibro;normal;0.08
11;vibro;normal;0.056
11;vibro;conflict;0.282
11;vibro;normal;0
11;vibro;normal;0.094
11;vibro;normal;0
11;vibro;normal;0.06
11;vibro;normal;0.052
11;vibro;conflict;0.252
11;vibro;normal;0
11;vibro;conflict;0.31
11;vibro;normal;0.01
11;vibro;normal;0
11;vibro;normal;0
11;vibro;normal;0.146
11;vibro;conflict;0.326
11;vibro;normal;0.102
11;vibro;normal;0.07
11;vibro;conflict;0.352
11;vibro;normal;0.082
11;vibro;normal;0.016
11;vibro;normal;0.094
11;vibro;conflict;0.296
11;vibro;normal;0
11;vibro;normal;0.03
11;vibro;normal;0.188
11;vibro;normal;0.134
11;vibro;normal;0.01
11;vibro;conflict;0.346
11;vibro;normal;0.058
11;vibro;conflict;0.448
11;vibro;normal;0.104
11;vibro;normal;0.128
11;vibro;normal;0
11;vibro;normal;0.174
11;vibro;conflict;0.398
11;vibro;normal;0.142
11;vibro;normal;0.132
11;vibro;conflict;0.4
11;vibro;normal;0.012
11;vibro;normal;0.134
