subject;condition;congruency;RT
20;vibro;normal;0.096
20;vibro;conflict;0.368
20;vibro;normal;0.08
20;vibro;normal;0.15
20;vibro;conflict;0.35
20;vibro;normal;0.086
20;vibro;normal;0.118
20;vibro;normal;0.088
20;vibro;normal;0.1
20;vibro;normal;0.112
20;vibro;conflict;0.312
20;vibro;normal;0.06
20;vibro;normal;0.06
20;vibro;normal;0.084
20;vibro;normal;0.108
20;vibro;conflict;0.408
20;vibro;normal;0.098
20;vibro;normal;0.134
20;vibro;normal;0.146
20;vibro;conflict;0.426
20;vibro;normal;0.136
20;vibro;conflict;0.362
20;vibro;normal;0.118
20;vibro;normal;0.086
20;vibro;conflict;0.4
20;vibro;normal;0.1
20;vibro;normal;0.078
20;vibro;normal;0.136
20;vibro;normal;0.104
20;vibro;normal;0.128
20;vibro;conflict;0.476
20;vibro;normal;0.12
20;vibro;normal;0.134
20;vibro;normal;0.146
20;vibro;normal;0.17
20;vibro;conflict;0.45
20;vibro;normal;0.106
20;vibro;normal;0.084
20;vibro;normal;0.118
20;vibro;conflict;0.366
20;vibro;normal;0.1
20;vibro;conflict;0.39
20;vibro;normal;0.136
20;vibro;normal;0.114
20;vibro;conflict;0.284
20;vibro;normal;0.128
20;vibro;normal;0.108
20;vibro;normal;0.106
20;vibro;normal;0.122
20;vibro;normal;0.128
20;vibro;conflict;0.348
20;vibro;normal;0.134
20;vibro;normal;0.116
20;vibro;normal;0.118
20;vibro;normal;0.084
20;vibro;conflict;0.398
20;vibro;normal;0.088
20;vibro;normal;0.096
20;vibro;normal;0.1
20;vibro;conflict;0.36
20;vibro;normal;0.07
20;vibro;conflict;0.374
20;vibro;normal;0.086
20;vibro;normal;0.076
20;vibro;conflict;0.322
20;vibro;normal;0.09
20;vibro;normal;0.112
20;vibro;normal;0.104
20;vibro;normal;0.106
20;vibro;normal;0.096
20;vibro;conflict;0.378
20;vibro;normal;0.108
20;vibro;normal;0.066
20;vibro;normal;0.09
20;vibro;normal;0.08
20;vibro;conflict;0.282
20;vibro;normal;0.06
