Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
2;visual;-4.2901;216;1.4097;392
3;visual;-5.8641;224;4.5852;348
6;visual;-6.5511;236;3.7278;460
7;visual;-5.0903;180;7.0262;400
8;visual;-3.3487;168;5.7582;384
11;visual;-5.4523;100;6.8261;500
12;visual;-4.6686;164;8.7669;408
13;visual;-2.8264;192;5.9227;452
14;visual;-2.6631;100;3.4722;292
15;visual;-2.019;224;-1.0289;348
16;visual;-1.0412;100;8.2746;368
2;vibro;-5.2388;140;1.5608;328
3;vibro;-9.0761;212;4.9236;368
6;vibro;-5.4164;196;8.1978;340
7;vibro;-5.8134;160;6.1081;364
8;vibro;-4.9046;148;4.1678;500
11;vibro;-0.34552;172;12.5922;340
12;vibro;-5.6949;164;5.1878;364
13;vibro;-2.459;180;9.548;436
14;vibro;-3.6367;276;0.98635;104
15;vibro;-2.2717;184;-0.37159;300
16;vibro;-6.5155;188;5.2136;300
2;ems;-3.926;124;2.8918;324
3;ems;-8.5325;228;5.6837;416
6;ems;-3.5131;208;9.719;388
7;ems;-7.8714;168;6.0837;308
8;ems;-5.4293;160;4.8499;244
11;ems;-7.8638;184;4.7374;488
12;ems;-6.6003;176;5.3374;360
13;ems;-2.8025;216;5.4915;384
14;ems;-9.0208;164;0.7736;500
15;ems;-6.1988;176;0.64241;100
16;ems;-6.6223;132;2.0894;304
